entity_id,state,last_changed
sensor.airsense2_bme680_temperature,11.6,2026-01-05T02:10:06.533Z
sensor.airsense2_bme680_temperature,11.7,2026-01-05T02:10:16.530Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T02:10:26.530Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T02:48:26.417Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T02:51:46.406Z
sensor.airsense2_bme680_temperature,11.7,2026-01-05T03:10:26.344Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T03:11:26.342Z
sensor.airsense2_bme680_temperature,11.7,2026-01-05T03:11:36.344Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T03:11:56.337Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T03:36:46.264Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T03:37:56.259Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T03:43:16.248Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T03:45:46.242Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T04:29:16.106Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T04:31:06.097Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T04:56:06.023Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:03:05.998Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:04:15.997Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:16:05.956Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:25:05.928Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:28:35.920Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:29:45.914Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:33:05.908Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:33:25.908Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:34:05.907Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:34:25.904Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:41:45.880Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:42:35.875Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:43:05.879Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:43:25.871Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:44:45.870Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:45:45.869Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T05:51:55.851Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:52:05.850Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T05:54:15.839Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T05:56:05.834Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T06:14:45.781Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T06:15:55.772Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T06:16:05.771Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T06:17:55.762Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T06:32:15.727Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T06:32:35.722Z
sensor.airsense2_bme680_temperature,11.6,2026-01-05T06:32:45.720Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T06:33:35.715Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T06:51:15.661Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T06:51:25.662Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:00:05.637Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:01:05.634Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:01:25.634Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:01:45.634Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:05:05.622Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:06:25.618Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:24:05.561Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:28:35.544Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:29:25.546Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:30:15.544Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:31:25.546Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:34:15.535Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:42:25.508Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:47:55.490Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:50:05.481Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:52:45.472Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T07:57:35.461Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T07:58:15.460Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:01:15.451Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:01:25.443Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:11:15.414Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:13:45.408Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:25:15.375Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:26:25.366Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:28:35.363Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:33:15.348Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:34:45.344Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:34:55.344Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:35:35.345Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:36:25.338Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:39:15.332Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:42:25.320Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:44:05.316Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:54:05.287Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:55:35.284Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:57:35.273Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:57:45.273Z
